title,areacode,addr1,cat2,mapx,mapy,firstimage
김천부항댐 산내들오토캠핑장,35,경상북도 김천시 지례면 부항댐길 50,A0302,128.0118863,35.97801097,http://tong.visitkorea.or.kr/cms/resource/28/2371228_image2_1.JPG
김천실내테니스장&김천오토캠핑장,35,경상북도 김천시 초곡길 287-97,A0302,128.178167,36.14102602,http://tong.visitkorea.or.kr/cms/resource/44/2909544_image2_1.jpg
김천친환경생태공원,35,경상북도 김천시 대항면 직지사길 118-50,A0101,128.0113741,36.11938656,http://tong.visitkorea.or.kr/cms/resource/02/2794702_image2_1.jpg
김청풍부원군묘역,32,강원특별자치도 춘천시 서면 경춘로 667-9,A0201,127.5846219,37.83659778,
김춘수 유품전시관,36,경상남도 통영시 해평5길 142-16,A0206,128.4161842,34.83337226,http://tong.visitkorea.or.kr/cms/resource/22/2367622_image2_1.jpg
김택준가옥,32,강원특별자치도 양양군 현남면 창리길 4,A0201,128.7592834,37.97188217,
김택화 미술관,39,제주특별자치도 제주시 조천읍 신흥로 1,A0206,126.6531914,33.54378866,
김포 덕포진,31,경기도 김포시 대곶면 덕포진로103번길 130,A0201,126.5366757,37.64983669,
김포 문수산성,31,경기도 김포시 월곶면 포내리,A0201,126.5315771,37.71733429,
김포 사색의 길,31,경기도 김포시 김포한강11로 455,A0101,126.6993635,37.65483621,http://tong.visitkorea.or.kr/cms/resource/10/2653110_image2_1.bmp
김포 수안산성,31,경기도 김포시 대곶면 율생리,A0201,126.5889435,37.63860559,
김포 아트빌리지,31,경기도 김포시 모담공원로 170,A0206,126.6958112,37.64679264,
김포 장릉(인헌왕후) [유네스코 세계유산],31,경기도 김포시 장릉로 79,A0201,126.7128301,37.61173314,http://tong.visitkorea.or.kr/cms/resource/42/2640342_image2_1.jpg
김포 평화문화관,31,경기도 김포시 월곶면 용강로13번길 38,A0206,126.5522167,37.72085647,http://tong.visitkorea.or.kr/cms/resource/77/2674677_image2_1.jpg
김포곤충농장,31,경기도 김포시 고촌읍 태리,A0203,126.7555768,37.58873102,http://tong.visitkorea.or.kr/cms/resource/77/3081477_image2_1.JPG
김포국제조각공원,31,경기도 김포시 월곶면 용강로13번길 38,A0206,126.5556803,37.72095096,
김포독립운동기념관,31,경기도 김포시 양촌읍 양곡2로30번길 46,A0206,126.629556,37.65332682,
김포레코파크,31,경기도 김포시 감암로 127,A0202,126.7094545,37.64296,http://tong.visitkorea.or.kr/cms/resource/72/2736572_image2_1.jpg
김포인삼쌀맥주갤러리,31,경기도 김포시 대곶면 대명항로 518,A0206,126.5637622,37.64648201,
김포캠핑파크,31,경기도 김포시 월곶면 용강로 325,A0302,126.5585126,37.74728128,http://tong.visitkorea.or.kr/cms/resource/25/2736025_image2_1.JPG
김포한강야생조류생태공원,31,경기도 김포시 김포한강11로 455,A0101,126.6993635,37.65483621,http://tong.visitkorea.or.kr/cms/resource/09/2653109_image2_1.bmp
김포한강오토캠핑장,31,경기도 김포시 하성면 월화로 912번길 64,A0302,126.6530302,37.70295479,http://tong.visitkorea.or.kr/cms/resource/27/2736027_image2_1.jpg
김포함상공원,31,경기도 김포시 대곶면 대명항1로 110-36,A0202,126.5393174,37.64075724,http://tong.visitkorea.or.kr/cms/resource/51/2396851_image2_1.jpg
김포향교,31,경기도 김포시 북변중로25번길 38,A0201,126.7099244,37.6247288,
김하인 아트홀 국화꽃향기,32,강원특별자치도 고성군 죽왕면 자작도선사길 120-4,A0203,128.5414566,38.30736947,http://tong.visitkorea.or.kr/cms/resource/82/2372082_image2_1.JPG
김해 구지봉,36,경상남도 김해시 가야로157번길 31-16,A0201,128.8753215,35.26455449,
김해 대성동 고분군,36,경상남도 김해시 가야의길 126,A0201,128.8739168,35.23747417,
김해 롯데워터파크,36,경상남도 김해시 장유로 555,A0202,128.8291361,35.18104357,
김해 봉황동 유적,36,경상남도 김해시 가락로63번길 50,A0201,128.8750558,35.23107213,
김해 분산성,36,경상남도 김해시 가야로405번안길 210-162,A0201,128.8925733,35.24614576,
김해 분청도자박물관,36,경상남도 김해시 진례면 진례로 275-35,A0206,128.7458748,35.25153414,
김해 수로왕비릉,36,경상남도 김해시 가락로190번길 1,A0201,128.8775358,35.24292363,
김해 양동리 고분군,36,경상남도 김해시 주촌면 서부로1341번길 22,A0201,128.8131725,35.22303301,
김해 예안리 고분군,36,경상남도 김해시 대동면 예안리,A0201,128.9664087,35.23857297,
김해 와인동굴,36,경상남도 김해시 생림면 마사로473번길 41,A0203,128.820865,35.37181645,http://tong.visitkorea.or.kr/cms/resource/07/2773807_image2_1.jpg
김해가야딸기테마파크,36,경상남도 김해시 칠산로210번길 128-62 (이동),A0203,128.8452985,35.18351581,http://tong.visitkorea.or.kr/cms/resource/89/3049089_image2_1.JPG
김해가야테마파크,36,경상남도 김해시 가야테마길 161,A0202,128.8937647,35.25163962,
김해목재문화박물관,36,경상남도 김해시 관동로27번길 5-49,A0206,128.8081602,35.18009885,
김해민속박물관,36,경상남도 김해시 분성로261번길 35,A0206,128.8764667,35.23471064,
김해생림오토캠핑장,36,경상남도 김해시 생림면 금곡로382번길 39,A0302,128.8125825,35.36598362,http://tong.visitkorea.or.kr/cms/resource/13/2727613_image2_1.jpg
김해생태체험학교 참빛,36,경상남도 김해시 한림면 가동로103번길 44-16,A0203,128.7605214,35.33181983,http://tong.visitkorea.or.kr/cms/resource/07/2484607_image2_1.jpg
김해수로왕릉,36,경상남도 김해시 가락로93번길 26,A0201,128.8772749,35.23493008,
김해승마클럽,36,경상남도 김해시 화목로 264-53 (화목동),A0302,128.8652496,35.18121088,http://tong.visitkorea.or.kr/cms/resource/46/3049746_image2_1.JPG
김해시,36,경상남도 김해시 김해대로 2401 김해시청,A0203,128.8895157,35.22802274,
김해시 수도박물관,36,경상남도 김해시 한림면 김해대로 1347,A0206,128.8242365,35.28394582,http://tong.visitkorea.or.kr/cms/resource/15/2638915_image2_1.png
김해읍성,36,경상남도 김해시 분성로335번길 44,A0201,128.8818967,35.23778817,http://tong.visitkorea.or.kr/cms/resource/25/2795425_image2_1.jpg
김해천문대,36,경상남도 김해시 가야테마길 254,A0101,128.8893151,35.25153677,http://tong.visitkorea.or.kr/cms/resource/35/2610435_image2_1.jpg
김해카라반르몽드,36,경상남도 김해시 가야테마길 161,A0302,128.8937758,35.25167572,http://tong.visitkorea.or.kr/cms/resource/62/2377262_image2_1.JPG
김해향교,36,경상남도 김해시 가락로150번길 21,A0201,128.8815661,35.23974073,
김현관 북촌펜드로잉,1,서울특별시 종로구 삼청로4길 26 (삼청동),A0206,126.9821341,37.58263022,http://tong.visitkorea.or.kr/cms/resource/06/3084506_image2_1.JPG
김현주 갤러리,1,서울특별시 종로구 삼청로7길 19-9,A0206,126.9809592,37.58349676,http://tong.visitkorea.or.kr/cms/resource/45/683445_image2_1.jpg
김호중소릿길,35,경상북도 김천시 교동,A0203,128.0955412,36.13541404,http://tong.visitkorea.or.kr/cms/resource/28/3032828_image2_1.jpg
김홍도미술관,31,경기도 안산시 상록구 충장로 422,A0206,126.8512674,37.3164449,
김홍신 문학관,34,충청남도 논산시 중앙로 146-23,A0206,127.1071252,36.18273824,
김화군민 망향탑,32,강원특별자치도 철원군 근남면 사곡리,A0201,127.4604181,38.25305801,http://tong.visitkorea.or.kr/cms/resource/36/2567136_image2_1.jpg
김환기고택,38,전라남도 신안군 안좌면 김환기길 38-1,A0201,126.121621,34.75285894,http://tong.visitkorea.or.kr/cms/resource/59/2740559_image2_1.jpg
김환태문학관&최북미술관,37,전북특별자치도 무주군 무주읍 한풍루로 347,A0206,127.663922,36.00466837,http://tong.visitkorea.or.kr/cms/resource/94/2613194_image2_1.jpg
김희수기념수림아트센터,1,서울특별시 동대문구 홍릉로 118 (청량리동),A0206,127.0426534,37.59075258,http://tong.visitkorea.or.kr/cms/resource/23/3057923_image2_1.jpg
깃대봉,38,전라남도 신안군 흑산면,A0101,125.4028978,34.66710719,
깃대캠핑장,33,충청북도 보은군 마로면 세중기대로 261-128,A0302,127.8060541,36.39944534,http://tong.visitkorea.or.kr/cms/resource/61/2749761_image2_1.jpg
깊은골캠핑장,37,전북특별자치도 무주군 설천면 구천동로 1284-6,A0302,127.7606683,35.9262179,http://tong.visitkorea.or.kr/cms/resource/37/2727637_image2_1.jpg
깊은산속 옹달샘,33,충청북도 충주시 노은면 우성1길 201-61,A0202,127.7513247,37.02560584,http://tong.visitkorea.or.kr/cms/resource/73/3022173_image2_1.jpg
깊이울관광농원,31,경기도 포천시 신북면 깊이울로 139-8,A0302,127.1759344,37.92402453,http://tong.visitkorea.or.kr/cms/resource/03/2763203_image2_1.jpg
깊이울달빛캠핑장,31,경기도 포천시 신북면 깊이울로 200,A0302,127.1690657,37.9217469,http://tong.visitkorea.or.kr/cms/resource/09/2749609_image2_1.jpg
깊이울유원지,31,경기도 포천시 신북면 깊이울로 221,A0202,127.1687963,37.92054148,http://tong.visitkorea.or.kr/cms/resource/80/2777980_image2_1.jpg
까막바위,32,강원특별자치도 동해시 묵호진동,A0101,129.1215275,37.55675392,http://tong.visitkorea.or.kr/cms/resource/55/3022755_image2_1.jpg
